LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott7660810,Bradornis comitatus
ott7660811,Bradornis fuliginosus
ott7660813,Bradornis ussheri
ott59028,Cercotrichas paena
ott237999,Cercotrichas leucophrys
ott364235,Cercotrichas hartlaubi
ott727908,Cercotrichas galactotes
ott878296,Cercotrichas podobe
ott59716,Saxicoloides fulicatus
ott59725,Trichixos pyrropygus
ott373879,Copsychus albospecularis
ott465983,Copsychus saularis
ott662919,Copsychus sechellarum
ott3598206,Copsychus mindanensis
ott88691,Kittacincla nigra
ott88706,Kittacincla cebuensis
ott466330,Kittacincla malabarica
ott994825,Kittacincla luzoniensis
ott92668,Cyanoptila cyanomelana
ott6152972,Cyanoptila cumatilis
ott287312,Eumyias thalassinus
ott829681,Eumyias indigo
ott3598170,Eumyias additus
ott829684,Eumyias panayensis
ott3598171,Eumyias albicaudatus
ott3598173,Eumyias sordidus
ott736235,Brachypteryx albiventris
ott1082155,Sholicola major
ott3598243,Muscicapa segregata
ott3598248,Muscicapa randi
ott3598249,Muscicapa epulata
ott3598829,Brachypteryx stellata
ott7068380,Brachypteryx cruralis
ott7068381,Brachypteryx goodfellowi
ott7068384,Brachypteryx sinensis
ott7660806,Brachypteryx poliogyna
ott345059,Turdus mandarinus
ott906941,Turdus plumbeus
ott906448,Turdus aurantius
ott54201,Turdus pelios
ott46399,Turdus niveiceps
ott431677,Turdus hortulorum
ott1076171,Turdus cardis
ott906447,Turdus unicolor
ott1050508,Turdus dissimilis
ott754978,Turdus boulboul
ott998219,Turdus simillimus
ott884603,Turdus naumanni
ott455488,Turdus atrogularis
ott906450,Turdus ruficollis
ott754977,Turdus torquatus
ott1050514,Turdus pilaris
ott754975,Turdus rubrocanus
ott906446,Turdus albocinctus
ott168082,Turdus maximus
ott906445,Turdus kessleri
ott481875,Turdus poliocephalus
ott653922,Turdus pallidus
ott653925,Turdus chrysolaus
ott906451,Turdus celaenops
ott653930,Turdus obscurus
ott906444,Turdus feae
ott54196,Turdus olivaceofuscus
ott808874,Turdus xanthorhynchus
ott381308,Turdus reevei
ott381309,Turdus olivater
ott381314,Turdus nigriceps
ott381313,Turdus serranus
ott1008495,Turdus fuscater
ott574269,Turdus chiguanco
ott381311,Turdus fulviventris
ott381310,Turdus maranonicus
ott1058855,Turdus ignobilis
ott381318,Turdus amaurochalinus
ott381315,Turdus falcklandii
ott96291,Turdus migratorius
ott1050507,Turdus rufitorques
ott381312,Turdus infuscatus
ott906452,Turdus nigrescens
ott302978,Turdus leucops
ott532589,Turdus swalesi
ott1058853,Turdus jamaicensis
ott381843,Cichlherminia lherminieri
ott96367,Turdus olivaceus
ott96371,Turdus smithi
ott54199,Turdus bewsheri
ott431681,Turdus libonyana
ott431680,Turdus tephronotus
ott845767,Turdus ludoviciae
ott1058857,Turdus obsoletus
ott1058858,Turdus lawrencii
ott293382,Turdus nudigenis
ott1058854,Turdus haplochrous
ott508849,Turdus grayi
ott1058851,Turdus maculirostris
ott1008498,Turdus rufiventris
ott1058859,Turdus albicollis
ott1058860,Turdus assimilis
ott532590,Turdus flavipes
ott379422,Turdus leucomelas
ott906942,Turdus fumigatus
ott1058852,Turdus hauxwelli
ott532591,Turdus rufopalliatus
