LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott692534,Macruromys major
ott3608697,Macruromys elegans
ott692526,Lorentzimys nouhuysi
ott976853,Anisomys imitator
ott118387,Coccymys ruemmleri
ott6144886,Coccymys kirrhos
ott6144887,Coccymys shawmayeri
ott3608698,Brassomys albidens
ott640005,Pogonomelomys mayeri
ott3608689,Pogonomelomys bruijni
ott3609983,Xenuromys barbatus
ott103870,Apomys minganensis
ott103873,Apomys zambalensis
ott103874,Apomys sierrae
ott359216,Apomys gracilirostris
ott359217,Apomys datae
ott359221,Apomys musculus
ott359223,Apomys microdon
ott359225,Apomys insignis
ott359227,Apomys hylocoetes
ott482741,Apomys camiguinensis
ott625467,Apomys magnus
ott625473,Apomys abrae
ott625476,Apomys aurorae
ott625477,Apomys banahao
ott625478,Apomys brownorum
ott3608633,Apomys littoralis
ott3608634,Apomys sacobianus
ott5852640,Apomys iridensis
ott5852641,Apomys lubangensis
ott121872,Rhynchomys soricoides
ott359219,Rhynchomys isarogensis
ott566956,Rhynchomys banahao
ott566971,Rhynchomys tapulao
ott195062,Chrotomys sibuyanensis
ott242459,Chrotomys whiteheadi
ott1047884,Chrotomys gonzalesi
ott566960,Chrotomys mindorensis
ott1093684,Chrotomys silaceus
ott566959,Archboldomys maximus
ott1047897,Archboldomys luzonensis
ott1047900,Soricomys musseri
ott3608635,Soricomys kalinga
ott4117361,Soricomys montanus
ott4117364,Soricomys leonardocoi
ott456599,Chiropodomys gliroides
ott3608658,Chiropodomys major
ott3608659,Chiropodomys pusillus
ott3608660,Chiropodomys karlkoopmani
ott3608661,Chiropodomys muroides
ott3608662,Chiropodomys calamianensis
ott170600,Millardia meltada
ott481167,Millardia kathleenae
ott3608651,Millardia kondana
ott3608650,Gerbillus gleadowi
ott897146,Cremnomys cutchicus
ott3608765,Cremnomys elvira
ott3611119,Diomys crumpi
ott271571,Rattus rattus
ott85028,Rattus tanezumi
ott106795,Rattus losea
ott977033,Rattus tiomanicus
ott1078780,Rattus hoffmanni
ott977026,Rattus argentiventer
ott106800,Rattus andamanensis
ott818981,Rattus pyctoris
ott109415,Tarsomys apoensis
ott3608739,Tarsomys echinatus
ott631027,Limnomys sibuanus
ott631028,Limnomys bryophilus
ott496420,Rattus everetti
ott283187,Rattus exulans
ott794935,Rattus tunneyi
ott271581,Rattus leucopus
ott690698,Rattus verecundus
ott109411,Rattus praetor
ott795203,Rattus novaeguineae
ott690682,Rattus niobe
ott895858,Rattus giluwensis
ott690686,Rattus lutreolus
ott271553,Rattus fuscipes
ott640782,Rattus colletti
ott794932,Rattus villosissimus
ott794938,Rattus sordidus
ott690684,Rattus steini
ott92106,Rattus nitidus
ott271555,Rattus norvegicus
ott577539,Diplothrix legata
ott106786,Bandicota bengalensis
ott836346,Bandicota indica
ott836348,Bandicota savilei
ott784789,Nesokia indica
ott3608734,Nesokia bunnii
ott106808,Rattus satarae
ott690689,Rattus mordax
ott977028,Rattus baluensis
ott3608836,Rattus koopmani
ott3608837,Rattus adustus
ott3608838,Rattus elaphinus
ott3608840,Rattus ranjiniae
ott3608841,Rattus enganus
ott3608843,Rattus mollicomulus
ott3608844,Rattus facetus
ott3608845,Rattus korinchi
ott3608847,Rattus bontanus
ott3608848,Rattus morotaiensis
ott3608849,Rattus simalurensis
ott3608851,Rattus palmarum
ott3608852,Rattus jobiensis
ott3608854,Rattus stoicus
ott3608856,Rattus burrus
ott3608857,Rattus xanthurus
ott3608858,Rattus hainaldi
ott3608862,Rattus arfakiensis
ott3608863,Microhydromys richardsoni
ott6144899,Microhydromys argenteus
ott3608864,Rattus omichlodes
ott3608865,Rattus arrogans
ott3608866,Rattus vandeuseni
ott3608867,Rattus salocco
ott3608868,Rattus timorensis
ott3608869,Rattus feliceus
ott3608871,Rattus hoogerwerfi
ott3608872,Rattus osgoodi
ott3608873,Rattus blangorum
ott3608874,Mus mayori
ott3608875,Rattus tawitawiensis
ott3608876,Rattus montanus
ott3608877,Rattus mindorensis
ott3608878,Rattus lugens
ott3608879,Rattus pelurus
ott167547,Paruromys dominator
ott481162,Bunomys chrysocomus
ott742015,Bunomys andrewsi
ott3608753,Bunomys prolatus
ott3608754,Bunomys fratrorum
ott3608755,Bunomys penitus
ott3608757,Bunomys coelestis
ott6144884,Bunomys karokophilus
ott6144885,Bunomys torajae
ott931920,Bullimus bagobus
ott931923,Bullimus gamay
ott931922,Bullimus luzonicus
ott501407,Sundamys muelleri
ott3608705,Sundamys infraluteus
ott3608706,Sundamys maxi
ott7067478,Sundamys annandalei
ott366063,Berylmys bowersi
ott991571,Berylmys berdmorei
ott3608703,Berylmys manipulus
ott3608704,Berylmys mackenziei
ott3609944,Kadarsanomys sodyi
ott3610221,Nesoromys ceramicus
ott3610454,Abditomys latidens
ott3610566,Paulamys naso
ott3610734,Taeromys microbullatus
ott3611067,Taeromys taerae
ott3611068,Taeromys celebensis
ott3611070,Taeromys arcuatus
ott3611072,Taeromys punicans
ott3611073,Taeromys callitrichus
ott3611078,Taeromys hamatus
ott3610767,Papagomys armandvillei
ott3610864,Komodomys rintjanus
ott3611196,Palawanomys furvus
ott106790,Leopoldamys sabanus
ott283432,Leopoldamys milleti
ott366048,Leopoldamys edwardsi
ott3608707,Leopoldamys siporanus
ott3608708,Leopoldamys ciliatus
ott4941066,Leopoldamys revertens
ott7067424,Leopoldamys herberti
ott1085685,Dacnomys millardi
ott993032,Chiromyscus chiropus
ott109408,Niviventer rapit
ott474768,Niviventer cremoriventer
ott977036,Niviventer niviventer
ott631031,Niviventer excelsior
ott323393,Niviventer andersoni
ott165538,Niviventer coninga
ott323395,Niviventer eha
ott612748,Niviventer confucianus
ott976845,Niviventer culturatus
ott323397,Niviventer brahma
ott751173,Niviventer fulvescens
ott871751,Niviventer tenaster
ott887565,Chiromyscus langbianis
ott912452,Niviventer huang
ott3608767,Niviventer lepturus
ott3608768,Niviventer cameroni
ott3608770,Niviventer hinpoon
ott3608772,Niviventer fraternus
ott7067446,Niviventer lotipes
ott3609947,Margaretamys parvus
ott3610862,Margaretamys beccarii
ott3610863,Margaretamys elegans
ott6144897,Margaretamys christinae
ott3610405,Pithecheir parvus
ott3610407,Pithecheir melanurus
ott3610594,Lenomys meyeri
ott3610726,Eropeplus canus
ott3610962,Lenothrix canus
ott3611041,Pithecheirops otion
ott5852639,Chiromyscus thomasi
ott993024,Melasmothrix naso
ott3610349,Tateomys macrocercus
ott3610351,Tateomys rhinogradoides
ott606407,Maxomys whiteheadi
ott629659,Maxomys pagensis
ott629662,Maxomys rajah
ott629665,Maxomys ochraceiventer
ott629668,Maxomys musschenbroekii
ott629671,Maxomys wattsi
ott771546,Maxomys moi
ott995490,Maxomys hellwaldii
ott3608773,Maxomys hylomyoides
ott3608774,Maxomys inflatus
ott3608776,Maxomys alticola
ott3608777,Maxomys inas
ott3608778,Maxomys baeodon
ott3608779,Maxomys dollmani
ott3608780,Maxomys panglima
ott631023,Crunomys melanius
ott631030,Crunomys suncoides
ott3608741,Crunomys celebensis
ott3608742,Crunomys fallax
ott3609992,Sommeromys macrorhinos
ott976849,Maxomys bartelsii
ott474763,Maxomys surifer
ott5340679,Maxomys tajuddinii
ott211375,Micromys minutus
ott284704,Srilankamys ohiensis
ott996976,Hapalomys delacouri
ott3608819,Hapalomys longicaudatus
ott3609908,Echiothrix centrosa
ott3610904,Echiothrix leucura
