LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott594714,Chiromantis doriae
ott3618611,Chiromantis simus
ott3618613,Chiromantis shyamrupus
ott3618615,Chiromantis punctatus
ott3618616,Chiromantis kelleri
ott3618617,Chiromantis cherrapunjiae
ott3618618,Chiromantis dudhwaensis
ott3618619,Chiromantis samkosensis
ott7666778,Chiromantis fasciatus
ott141759,Ghatixalus variabilis
ott141762,Ghatixalus asterops
ott6158894,Ghatixalus magnus
ott18649,Pseudophilautus mittermeieri
ott986371,Pseudophilautus decoris
ott18669,Pseudophilautus pleurotaenia
ott986367,Pseudophilautus asankai
ott986375,Pseudophilautus hoffmani
ott169820,Pseudophilautus ocularis
ott965039,Pseudophilautus tanu
ott18678,Pseudophilautus poppiae
ott554582,Pseudophilautus femoralis
ott188000,Pseudophilautus mooreorum
ott188016,Pseudophilautus stuarti
ott530710,Pseudophilautus popularis
ott356005,Pseudophilautus hankeni
ott714956,Pseudophilautus schmarda
ott820040,Pseudophilautus cavirostris
ott986378,Pseudophilautus lunatus
ott169839,Pseudophilautus papillosus
ott914756,Pseudophilautus reticulatus
ott188012,Pseudophilautus steineri
ott579678,Pseudophilautus microtympanum
ott188004,Pseudophilautus simba
ott20269,Pseudophilautus folicola
ott51403,Pseudophilautus kani
ott135678,Pseudophilautus wynaadensis
ott997606,Pseudophilautus amboli
ott517474,Pseudophilautus zorro
ott339953,Pseudophilautus alto
ott356008,Pseudophilautus schneideri
ott696788,Pseudophilautus sarasinorum
ott1090249,Pseudophilautus limbus
ott3618433,Pseudophilautus semiruber
ott3618541,Pseudophilautus chalazodes
ott5820350,Pseudophilautus dilmah
ott5820352,Pseudophilautus bambaradeniyai
ott7070991,Pseudophilautus abundus
ott7070992,Pseudophilautus caeruleus
ott7070993,Pseudophilautus cuspis
ott7070994,Pseudophilautus frankenbergi
ott7070995,Pseudophilautus fulvus
ott7070996,Pseudophilautus hallidayi
ott7070997,Pseudophilautus hoipolloi
ott7070998,Pseudophilautus procax
ott7070999,Pseudophilautus regius
ott7071000,Pseudophilautus rus
ott7071001,Pseudophilautus silus
ott7071002,Pseudophilautus silvaticus
ott7071003,Pseudophilautus singu
ott7071004,Pseudophilautus sordidus
ott7071005,Pseudophilautus stictomerus
ott7071006,Pseudophilautus viridis
ott4133644,Mercurana myristicapalustris
ott33622,Raorchestes signatus
ott826149,Raorchestes tinniens
ott997596,Raorchestes chromasynchysi
ott118181,Raorchestes griet
ott579684,Raorchestes charius
ott820824,Raorchestes coonoorensis
ott116915,Raorchestes gryllus
ott245027,Raorchestes tuberohumerus
ott819739,Raorchestes bombayensis
ott5338100,Raorchestes ghatei
ott660946,Raorchestes menglaensis
ott116920,Raorchestes longchuanensis
ott295317,Raorchestes ponmudi
ott169415,Raorchestes sushili
ott350551,Raorchestes kaikatti
ott917385,Raorchestes anili
ott917438,Raorchestes bobingeri
ott196484,Raorchestes luteolus
ott295306,Raorchestes travancoricus
ott198270,Raorchestes chlorosomma
ott295314,Raorchestes nerostagona
ott819734,Raorchestes graminirupes
ott350413,Raorchestes jayarami
ott360209,Raorchestes glandulosus
ott585988,Raorchestes resplendens
ott692021,Raorchestes munnarensis
ott917424,Raorchestes beddomii
