LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott615102,Callitris columellaris
ott615104,Callitris muelleri
ott615105,Callitris canescens
ott3866704,Callitris neocaledonica
ott3866705,Callitris monticola
ott3866706,Callitris roei
ott3866707,Callitris baileyi
ott305714,Widdringtonia whytei
ott615115,Widdringtonia nodiflora
ott748914,Widdringtonia schwarzii
ott525028,Diselma archeri
ott791262,Fitzroya cupressoides
ott597441,Libocedrus plumosa
ott669291,Libocedrus austrocaledonica
ott791267,Libocedrus yateensis
ott791265,Libocedrus bidwillii
ott791275,Pilgerodendron uviferum
ott3866717,Libocedrus chevalieri
ott216742,Austrocedrus chilensis
ott791271,Papuacedrus papuana
ott538146,Taxodium distichum
ott751756,Glyptostrobus pensilis
ott620749,Cryptomeria japonica
ott47954,Metasequoia glyptostroboides
ott538150,Sequoia sempervirens
ott810380,Sequoiadendron giganteum
ott751748,Athrotaxis selaginoides
ott810438,Athrotaxis cupressoides
ott238581,Taiwania cryptomerioides
ott760790,Cunninghamia lanceolata
ott117272,Cunninghamia lanceolata var. konishii
ott10224,Cephalotaxus harringtonia
ott672475,Cephalotaxus oliveri
ott14126,Cephalotaxus griffithii
ott828859,Cephalotaxus hainanensis
ott639017,Cephalotaxus fortunei
ott238588,Torreya nucifera
ott61762,Torreya grandis
ott386481,Torreya californica
ott698566,Torreya taxifolia
ott442800,Torreya fargesii
ott1043650,Torreya jackii
ott625480,Amentotaxus poilanei
ott1015543,Amentotaxus formosana
ott684229,Amentotaxus argotaenia
ott709315,Amentotaxus yunnanensis
ott3866984,Amentotaxus assamica
ott3866985,Amentotaxus hatuyenensis
ott883830,Taxus cuspidata
ott799895,Taxus canadensis
ott684215,Taxus baccata
ott296254,Taxus chinensis
ott1043657,Taxus wallichiana
ott1089675,Taxus floridana
ott1089672,Taxus globosa
ott213430,Taxus contorta
ott388440,Taxus mairei
ott667265,Taxus brevifolia
ott7045831,Taxus calcicola
ott7045832,Taxus florinii
ott386488,Pseudotaxus chienii
ott317468,Austrotaxus spicata
ott164658,Sciadopitys verticillata
ott22198,Gnetum acutum
ott29712,Gnetum leptostachyum
ott425764,Gnetum leyboldii
ott4001575,Gnetum schwackeanum
ott717781,Gnetum urens
ott717782,Gnetum nodiflorum
ott448104,Gnetum paniculatum
ott302331,Gnetum africanum
ott567406,Gnetum costatum
ott673436,Gnetum gnemon
ott662999,Gnetum raya
ott692327,Gnetum gnemonoides
ott332581,Gnetum parvifolium
ott673440,Gnetum montanum
ott116733,Gnetum neglectum
ott116735,Gnetum latifolium
ott116737,Gnetum klossii
ott116732,Gnetum diminutum
ott4001572,Gnetum microcarpum
ott691084,Gnetum cuspidatum
ott875075,Gnetum tenuifolium
ott116734,Gnetum macrostachyum
ott116738,Gnetum hainanense
ott629993,Gnetum luofuense
ott4001559,Gnetum ridleyi
ott4001560,Gnetum gracilipes
ott4001561,Gnetum contractum
ott4001562,Gnetum camporum
ott4001563,Gnetum formosum
ott4001564,Gnetum venosum
ott4001565,Gnetum oxycarpum
ott4001566,Gnetum pendulum
ott4001567,Gnetum oblongum
ott4001568,Gnetum loerzingii
ott4001569,Gnetum globosum
ott4001570,Gnetum arboreum
ott4001571,Gnetum buchholzianum
ott4001573,Gnetum bosavicum
ott4001574,Gnetum catasphaericum
ott4001576,Gnetum giganteum
ott5689533,Gnetum edule
ott7580170,Gnetum interruptum
ott7580171,Gnetum latispicum
ott47947,Welwitschia mirabilis
ott54055,Ephedra sarcocarpa
ott159202,Ephedra strobilacea
ott726976,Ephedra transitoria
ott673442,Ephedra distachya
ott159203,Ephedra fedtschenkoae
ott948083,Ephedra regeliana
ott563921,Ephedra przewalskii
ott626672,Ephedra lomatolepis
ott202432,Ephedra intermedia
ott332582,Ephedra sinica
ott66079,Ephedra rhytidosperma
ott107397,Ephedra monosperma
