LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott735232,Trachemys dorbigni
ott608016,Trachemys stejnegeri
ott608017,Trachemys terrapen
ott608023,Trachemys decorata
ott608019,Trachemys decussata
ott996196,Trachemys venusta
ott480212,Graptemys ouachitensis
ott927372,Graptemys ouachitensis sabinensis
ott905287,Graptemys nigrinoda
ott1092200,Graptemys pseudogeographica
ott515020,Graptemys caglei
ott835313,Graptemys flavimaculata
ott922328,Graptemys versa
ott905289,Graptemys oculifera
ott480185,Graptemys pulchra
ott905270,Graptemys barbouri
ott515021,Graptemys ernsti
ott515023,Graptemys gibbonsi
ott1064023,Graptemys geographica
ott6155978,Graptemys pearlensis
ott1064070,Malaclemys terrapin
ott455436,Trachemys taylori
ott455430,Trachemys yaquia
ott927365,Trachemys nebulosa
ott996201,Trachemys ornata
ott351864,Pseudemys rubriventris
ott981321,Pseudemys texana
ott848502,Pseudemys alabamensis
ott1003485,Pseudemys concinna
ott848504,Pseudemys gorzugi
ott351865,Pseudemys peninsularis
ott526264,Pseudemys nelsoni
ott587300,Chrysemys picta
ott680552,Chrysemys dorsalis
ott848781,Deirochelys reticularia
ott733093,Emys orbicularis
ott592138,Emys trinacris
ott1013355,Emys blandingii
ott743507,Actinemys marmorata
ott5553928,Actinemys pallida
ott848784,Terrapene nelsoni
ott1013359,Terrapene ornata
ott848786,Terrapene carolina
ott444150,Terrapene coahuila
ott4948075,Terrapene mexicana
ott436621,Clemmys guttata
ott743501,Glyptemys muhlenbergii
ott743503,Glyptemys insculpta
ott619860,Platysternon megacephalum
ott243403,Dermochelys coriacea
ott430337,Eretmochelys imbricata
ott392505,Caretta caretta
ott430320,Lepidochelys olivacea
ott587328,Lepidochelys kempii
ott559133,Chelonia mydas
ott895624,Natator depressus
ott98390,Dermatemys mawii
ott106549,Sternotherus carinatus
ott487672,Sternotherus odoratus
ott996209,Sternotherus depressus
ott828705,Sternotherus minor
ott270865,Kinosternon creaseri
ott592296,Kinosternon acutum
ott1053479,Kinosternon herrerai
ott270867,Kinosternon chimalhuaca
ott487665,Kinosternon hirtipes
ott944913,Kinosternon sonoriense
ott944915,Kinosternon integrum
ott3606159,Kinosternon oaxacae
ott969338,Kinosternon scorpioides
ott592287,Kinosternon dunni
ott608602,Kinosternon leucostomum
ott487667,Kinosternon flavescens
ott487668,Kinosternon durangoense
ott487671,Kinosternon stejnegeri
ott487669,Kinosternon baurii
ott487664,Kinosternon subrubrum
ott592291,Kinosternon angustipons
ott592293,Kinosternon alamosae
ott149793,Staurotypus triporcatus
ott996207,Staurotypus salvinii
ott469679,Claudius angustatus
ott420313,Chelydra rossignonii
ott587311,Chelydra serpentina
ott7663893,Chelydra acutirostris
ott1084896,Macrochelys temminckii
ott1662,Zamenis scalaris
ott859565,Zamenis situla
ott284753,Zamenis longissimus
ott859569,Zamenis lineatus
ott859568,Zamenis persicus
ott284751,Zamenis hohenackeri
ott1669,Elaphe quatuorlineata
ott288031,Elaphe sauromates
ott504863,Elaphe quadrivirgata
ott545492,Elaphe schrenckii
ott6530,Elaphe climacophora
ott1670,Elaphe dione
ott545491,Elaphe bimaculata
ott545490,Elaphe carinata
ott808386,Elaphe davidi
ott33772,Pantherophis slowinskii
ott689033,Pantherophis emoryi
ott456236,Pantherophis guttatus
ott161807,Pantherophis ramspotti
ott456232,Pantherophis bairdi
ott530777,Pantherophis obsoletus
ott689025,Pantherophis spiloides
ott689032,Pantherophis alleghaniensis
ott456239,Pantherophis vulpinus
ott405961,Pituophis melanoleucus
ott405894,Pituophis ruthveni
ott931717,Pituophis catenifer
ott405897,Pituophis lineaticollis
ott931709,Pituophis vertebralis
ott405901,Pituophis deppei
ott547409,Lampropeltis getula
ott300624,Lampropeltis nigra
ott193911,Lampropeltis splendida
ott194403,Lampropeltis californiae
ott660100,Lampropeltis holbrooki
ott234914,Lampropeltis extenuata
